,index,Country,Mineral,Count,Year
0,0,Australia,Iron,531075350,2016
9,9,Australia,Bauxite,83517148,2016
35,35,Australia,Steam Coal,249568000,2016
36,36,Australia,Coking Coal,189302000,2016
37,37,Australia,Lignite,61473000,2016
41,41,Australia,Iron,548297062,2017
50,50,Australia,Bauxite,89420589,2017
76,76,Australia,Steam Coal,252748000,2017
77,77,Australia,Coking Coal,190000000,2017
78,78,Australia,Lignite,56719000,2017
82,82,Australia,Iron,560054570,2018
91,91,Australia,Bauxite,95947593,2018
117,117,Australia,Steam Coal,259784000,2018
118,118,Australia,Coking Coal,179350000,2018
119,119,Australia,Lignite,45956000,2018
123,123,Australia,Iron,567957086,2019
132,132,Australia,Bauxite,105543787,2019
158,158,Australia,Steam Coal,271388000,2019
159,159,Australia,Coking Coal,189066000,2019
160,160,Australia,Lignite,43315000,2019
164,164,Australia,Iron,568384644,2020
173,173,Australia,Bauxite,103626811,2020
199,199,Australia,Steam Coal,267529000,2020
200,200,Australia,Coking Coal,183740000,2020
201,201,Australia,Lignite,41513000,2020
