,country,count,Area
0,United States of America,266599,9147420
1,Argentina,2400,2736690
2,Ghana,72,227533
3,Oman,4,309500
4,Angola,13,1246700
5,Namibia,72,823290
6,Botswana,38,566730
7,Indonesia,107,1877519
8,China,1053,9424702.9
9,Gabon,15,257670
10,Kenya,23,569140
11,Algeria,225,2381741
12,India,781,2973190
13,Israel,26,21640
14,Morocco,119,446300
15,Malaysia,111,328550
16,Mozambique,30,786380
17,Pakistan,48,770880
18,Philippines,359,298170
19,Tanzania,65,885800
20,Mali,23,1220190
21,Peru,3055,1280000
22,Bolivia,1661,1083300
23,Mexico,4763,1943950
24,Canada,1551,8965590
25,Costa Rica,452,51060
26,Russia,1394,16376870
27,Brazil,2078,8358140
28,Kazakhstan,284,2699700
29,Germany,181,349390
30,Slovenia,11,20136.4
31,Austria,38,82520
32,France,481,547557
33,United Kingdom,103,241930
34,Spain,174,499556.645
35,Tunisia,67,155360
36,Zimbabwe,262,386850
37,South Africa,705,1213090
38,Australia,1195,7692020
39,Azerbaijan,12,82646
40,Sweden,106,407283.532
41,Norway,80,364285
42,Bulgaria,30,108560
43,Hungary,40,91260
44,Burkina Faso,15,273600
45,Uganda,27,200520
46,New Zealand,209,263310
47,Denmark,16,40000
48,Somalia,165,627340
49,Mauritania,11,1030700
50,Niger,15,1266700
51,Senegal,13,192530
52,Sierra Leone,24,72180
53,Togo,7,54390
54,Zambia,112,743390
55,Cyprus,13,9240
56,Iraq,49,434128
57,Japan,415,364500
58,Jordan,17,88794
59,Thailand,253,510890
60,Guinea,30,245720
61,Mongolia,14,1557506.803
62,Guatemala,191,107160
63,Poland,59,306130
64,Italy,137,295717
65,Guyana,584,196850
66,Jamaica,357,10830
67,Fiji,10,18270
68,Suriname,152,156000
69,Cameroon,10,472710
70,Solomon Islands,3,27990
71,Ireland,24,68890
72,Malawi,12,94280
73,Afghanistan,33,652230
74,Finland,84,303940
75,Sri Lanka,16,61860
76,Chile,4081,743532
77,Bosnia and Herzegovina,26,51200
78,Montenegro,7,13450
79,Libya,55,1759540
80,Saudi Arabia,39,2149690
81,Uzbekistan,60,440650
82,Greece,64,128900
83,Ecuador,591,248360
84,Serbia,41,87460
85,Ethiopia,40,1128571.265
86,Albania,45,27400
87,Czech Republic,33,77198.53
88,Romania,43,230080
89,Ukraine,109,579400
90,Colombia,1016,1109500
91,Cuba,450,103800
92,Burundi,9,25680
93,Estonia,4,42750
94,Nauru,4,20
95,Portugal,33,91605.6
96,Papua New Guinea,82,452860
97,Georgia,21,69490
98,Tajikistan,37,138790
99,Armenia,22,28470
100,Madagascar,62,581800
101,Honduras,262,111890
102,Haiti,68,27560
103,Dominican Republic,106,48310
104,Sudan,14,1868000
105,Panama,287,74180
106,Belize,9,22810
107,El Salvador,39,20720
108,Nicaragua,66,120340
109,Uruguay,258,175020
110,Dominica,2,750
111,Antigua and Barbuda,6,440
112,"Bahamas, The",1,10010
113,Netherlands,17,33670
114,Barbados,1,430
115,Paraguay,48,397300
116,Cambodia,52,176520
117,Vietnam,33,313429
118,Lesotho,2,30360
119,Liberia,17,96320
120,Vanuatu,1,12190
121,Palau,1,460
122,Rwanda,4,24670
123,Croatia,8,55960
124,Turkmenistan,6,469930
125,Nigeria,14,910770
126,Belgium,22,30280
127,Belarus,4,202980
128,Qatar,1,11490
129,Benin,2,112760
130,Bangladesh,3,130170
131,Nepal,3,143350
132,Lebanon,1,10230
133,Switzerland,3,39516.03
134,Luxembourg,3,2574.46
135,United Arab Emirates,1,71020
136,Singapore,1,718
137,Lithuania,1,62620
138,Trinidad and Tobago,1,5130
139,Bahrain,1,785
140,Iceland,1,100830
