Country,unit,2016,2017,2018,2019,2020,16,17,18,19,20
Australia,kg,610,610,430,390,420,8,8,8,8,8
Canada,kg,21200,19140,20880,23340,21430,3,3,3,3,3
China,kg,1300,1400,1300,1300,1300,6,6,6,6,6
Finland,kg,901,1021,1157,699,858,7,7,7,7,7
Poland,kg,30,7,5,5,4,9,10,10,11,11
Russia,kg,86500,76270,92570,92900,81990,1,2,1,1,1
Serbia,kg,23,50,55,100,100,10,9,9,9,9
South Africa,kg,76273,80713,80629,80684,66264,2,1,2,2,2
United States,kg,13070,13600,14267,14323,14555,4,4,4,4,4
Uzbekistan,kg,0,0,0,28,91,11,11,11,10,10
Zimbabwe,kg,12222,11822,12094,11640,12890,5,5,5,5,5
